GUT_GENOME000067	GUT_GENOME000525
GUT_GENOME000067	GUT_GENOME037412
GUT_GENOME000067	GUT_GENOME083607
GUT_GENOME000067	GUT_GENOME122127
GUT_GENOME000067	GUT_GENOME150053
GUT_GENOME000067	GUT_GENOME178321
GUT_GENOME000067	GUT_GENOME205942
GUT_GENOME000067	GUT_GENOME207876
GUT_GENOME000067	GUT_GENOME226859
GUT_GENOME000525	GUT_GENOME037412
GUT_GENOME000525	GUT_GENOME083607
GUT_GENOME000525	GUT_GENOME122127
GUT_GENOME000525	GUT_GENOME150053
GUT_GENOME000525	GUT_GENOME178321
GUT_GENOME000525	GUT_GENOME205942
GUT_GENOME000525	GUT_GENOME207876
GUT_GENOME000525	GUT_GENOME226859
GUT_GENOME037412	GUT_GENOME083607
GUT_GENOME037412	GUT_GENOME122127
GUT_GENOME037412	GUT_GENOME150053
GUT_GENOME037412	GUT_GENOME178321
GUT_GENOME037412	GUT_GENOME205942
GUT_GENOME037412	GUT_GENOME207876
GUT_GENOME037412	GUT_GENOME226859
GUT_GENOME083607	GUT_GENOME122127
GUT_GENOME083607	GUT_GENOME150053
GUT_GENOME083607	GUT_GENOME178321
GUT_GENOME083607	GUT_GENOME205942
GUT_GENOME083607	GUT_GENOME207876
GUT_GENOME083607	GUT_GENOME226859
GUT_GENOME122127	GUT_GENOME150053
GUT_GENOME122127	GUT_GENOME178321
GUT_GENOME122127	GUT_GENOME205942
GUT_GENOME122127	GUT_GENOME207876
GUT_GENOME122127	GUT_GENOME226859
GUT_GENOME150053	GUT_GENOME178321
GUT_GENOME150053	GUT_GENOME205942
GUT_GENOME150053	GUT_GENOME207876
GUT_GENOME150053	GUT_GENOME226859
GUT_GENOME178321	GUT_GENOME205942
GUT_GENOME178321	GUT_GENOME207876
GUT_GENOME178321	GUT_GENOME226859
GUT_GENOME205942	GUT_GENOME207876
GUT_GENOME205942	GUT_GENOME226859
GUT_GENOME207876	GUT_GENOME226859
